folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
hocho_R_12,frame_00000.png,frame_00116.png,hocho_R_12\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.625469,0.739574,0.783907,0.150918,,stat,,std,,8
hocho_R_12,frame_00000.png,frame_00116.png,hocho_R_12\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.378591,0.788949,0.737436,0.084352,,stat,,std,,12
ex_R_4,frame_00000.png,frame_00116.png,ex_R_4\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.286835,0.420575,0.597322,0.179531,,stat,,std,,4
ex_R_4,frame_00000.png,frame_00116.png,ex_R_4\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.174193,0.426630,0.614915,0.124390,,stat,,std,,8
ex_R_4,frame_00000.png,frame_00116.png,ex_R_4\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.150437,0.419623,0.615744,0.114931,,stat,,std,,12
ex_R_8,frame_00000.png,frame_00116.png,ex_R_8\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.739710,0.608011,0.732167,0.200297,,stat,,std,,4
ex_R_8,frame_00000.png,frame_00116.png,ex_R_8\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.329734,0.538723,0.653905,0.139364,,stat,,std,,8
ex_R_8,frame_00000.png,frame_00116.png,ex_R_8\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.282867,0.528343,0.647709,0.128926,,stat,,std,,12
ex_R_12,frame_00000.png,frame_00116.png,ex_R_12\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.984103,0.623290,0.778129,0.224967,,stat,,std,,4
ex_R_12,frame_00000.png,frame_00116.png,ex_R_12\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.909516,0.731911,0.846088,0.151389,,stat,,std,,8
