folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,12,0.636870,,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,58.752 fps,0,rice,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_R_8,QR未検出,,pair,,,,12,0.676846,,,,,,,1,rice,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_R_12,,gray,pair,,,,12,0.849346,0.956141,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00051.png,frame_00052.png,,117,1.991420
nagaoka_fireworks_R_4,QR未検出,,pair,,,,12,0.637675,,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_R_8,QR未検出,,pair,,,,12,0.688408,,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_R_12,QR未検出,,pair,,,,12,0.816774,,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_R_4,QR未検出,,pair,,,,12,0.637002,,,,,,,6,hocho,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_R_8,QR未検出,,pair,,,,12,0.675031,,,,,,,7,hocho,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_R_12,QR未検出,,pair,,,,12,0.781361,,,,,,,8,hocho,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_R_4,QR未検出,,pair,,,,12,0.644261,,,,,,,9,ex,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_R_8,QR未検出,,pair,,,,12,0.789923,,,,,,,10,ex,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_R_12,,gray,pair,,,,12,0.894143,0.951710,,,,,,11,ex,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00009.png,frame_00010.png,,117,1.991420
rice_G_4,QR未検出,,pair,,,,12,0.636650,,,,,,,12,rice,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_G_8,QR未検出,,pair,,,,12,0.667965,,,,,,,13,rice,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_G_12,,gray,pair,,,,12,0.853932,0.961592,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00008.png,frame_00009.png,,117,1.991420
nagaoka_fireworks_G_4,QR未検出,,pair,,,,12,0.636517,,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_G_8,QR未検出,,pair,,,,12,0.693265,,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_G_12,QR未検出,,pair,,,,12,0.818960,,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00114.png,frame_00115.png,,117,1.991420
hocho_G_4,QR未検出,,pair,,,,12,0.637726,,,,,,,18,hocho,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_G_8,QR未検出,,pair,,,,12,0.663536,,,,,,,19,hocho,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_G_12,QR未検出,,pair,,,,12,0.747220,,,,,,,20,hocho,G,G,12,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_G_4,QR未検出,,pair,,,,12,0.636886,,,,,,,21,ex,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_G_8,QR未検出,,pair,,,,12,0.728830,,,,,,,22,ex,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_G_12,,gray,pair,,,,12,0.881656,0.960730,,,,,,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00001.png,frame_00002.png,,117,1.991420
rice_B_4,QR未検出,,pair,,,,12,0.637848,,,,,,,24,rice,B,B,4,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_B_8,QR未検出,,pair,,,,12,0.703508,,,,,,,25,rice,B,B,8,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_B_12,QR未検出,,pair,,,,12,0.842393,,,,,,,26,rice,B,B,12,,,frame_00114.png,frame_00115.png,,117,1.991420
nagaoka_fireworks_B_4,QR未検出,,pair,,,,12,0.639339,,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_B_8,QR未検出,,pair,,,,12,0.720153,,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00114.png,frame_00115.png,,117,1.991420
nagaoka_fireworks_B_12,QR未検出,,pair,,,,12,0.832873,,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00114.png,frame_00115.png,,117,1.991420
hocho_B_4,QR未検出,,pair,,,,12,0.636173,,,,,,,30,hocho,B,B,4,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_B_8,QR未検出,,pair,,,,12,0.638542,,,,,,,31,hocho,B,B,8,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_B_12,QR未検出,,pair,,,,12,0.689686,,,,,,,32,hocho,B,B,12,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_B_4,QR未検出,,pair,,,,12,0.638383,,,,,,,33,ex,B,B,4,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_B_8,QR未検出,,pair,,,,12,0.721536,,,,,,,34,ex,B,B,8,,,frame_00114.png,frame_00115.png,,117,1.991420
