participant_id,participant_name,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P01,test,0,1,rice,G,8,4,750,154761.691071,154762.634098,154766.385457,0
P01,test,1,0,ex,B,16,4,3784,154768.842717,154769.784412,154776.569376,0
P01,test,2,0,ex,R,12,4,917,154776.713410,154777.668111,154781.586188,0
P01,test,3,0,ex,R,16,4,1633,154781.728799,154782.669428,154787.303191,0
P01,test,4,0,hocho,G,8,1,467,154787.446971,154788.403034,154791.870174,0
P01,test,5,0,rice,G,16,4,434,154792.009804,154792.953203,154796.387385,0
P01,test,6,0,hocho,B,4,1,567,154796.526526,154797.470157,154801.037299,0
P01,test,7,0,hocho,R,4,1,749,154801.177731,154802.120349,154805.869862,0
P01,test,8,0,ex,R,8,1,1267,154806.011961,154806.953887,154811.221077,0
P01,test,9,0,nagaoka_fireworks,G,16,4,1100,154811.342002,154812.287583,154816.388143,0
P01,test,10,0,nagaoka_fireworks,B,12,2,767,154816.506695,154817.454494,154821.221645,0
P01,test,11,0,hocho,B,12,1,2167,154821.363588,154822.304751,154827.471926,0
P01,test,12,0,hocho,B,8,1,600,154827.613350,154828.555105,154832.155518,0
P01,test,13,0,hocho,R,8,1,884,154832.295611,154833.240077,154837.122427,0
P01,test,14,0,nagaoka_fireworks,G,8,2,817,154837.238403,154838.188949,154842.006312,0
P01,test,15,0,ex,G,4,1,717,154842.149282,154843.105809,154846.822950,0
P01,test,16,0,nagaoka_fireworks,G,4,1,567,154846.938212,154847.889439,154851.456402,0
P01,test,17,0,hocho,G,16,3,468,154851.595460,154852.539646,154856.007074,0
P01,test,18,0,rice,B,16,3,500,154856.144419,154857.089941,154860.590373,0
P01,test,19,0,hocho,G,4,1,334,154860.731263,154861.673375,154865.007281,0
P01,test,20,0,ex,G,16,4,283,154865.150531,154866.107003,154869.390638,0
P01,test,21,0,nagaoka_fireworks,B,8,1,417,154869.505616,154870.457226,154873.874203,0
P01,test,22,0,rice,R,16,4,367,154874.011234,154874.957382,154878.324455,0
P01,test,23,0,nagaoka_fireworks,B,4,1,884,154878.439768,154879.390943,154883.274971,0
P01,test,24,0,rice,R,12,4,301,154883.411665,154884.357947,154887.658566,0
P01,test,25,0,nagaoka_fireworks,R,12,3,317,154887.770637,154888.724752,154892.041933,0
P01,test,26,0,rice,B,8,1,467,154892.180317,154893.123947,154896.592023,0
P01,test,27,0,hocho,R,12,3,1051,154896.727948,154897.674163,154901.725830,0
P01,test,28,0,nagaoka_fireworks,R,4,1,417,154901.837840,154902.791113,154906.209160,0
P01,test,29,0,ex,B,12,3,2100,154906.345501,154907.292423,154912.391973,0
P01,test,30,0,hocho,R,16,4,615,154912.527789,154913.475998,154917.093050,0
P01,test,31,0,ex,B,8,1,467,154917.227737,154918.177157,154921.643447,0
P01,test,32,0,nagaoka_fireworks,B,16,3,2149,154921.753044,154922.709946,154927.859286,0
P01,test,33,0,ex,B,4,1,450,154927.995162,154928.943455,154932.393938,0
P01,test,34,0,nagaoka_fireworks,G,12,4,350,154932.502419,154933.443663,154936.794071,0
P01,test,35,0,rice,R,4,1,317,154936.927521,154937.877293,154941.194322,0
P01,test,36,0,hocho,B,16,1,434,154941.326999,154942.277462,154945.711245,0
P01,test,37,0,ex,G,8,2,300,154945.849400,154946.794267,154950.094715,0
P01,test,38,0,ex,G,12,4,317,154950.231043,154951.177991,154954.495014,0
P01,test,39,0,ex,R,4,1,317,154954.634838,154955.578115,154958.895319,0
P01,test,40,0,rice,G,12,4,217,154959.030092,154959.978440,154963.195485,0
P01,test,41,0,rice,G,8,3,584,154963.269849,154964.211923,154967.795585,0
P01,test,42,0,nagaoka_fireworks,R,16,4,584,154967.905366,154968.863582,154972.445859,0
P01,test,43,0,nagaoka_fireworks,R,8,1,567,154972.557446,154973.512431,154977.079634,0
P01,test,44,0,rice,G,4,2,318,154977.212251,154978.162585,154981.480619,0
P01,test,45,0,rice,B,4,1,351,154981.613979,154982.561808,154985.913262,0
P01,test,46,0,rice,R,8,2,348,154986.045814,154986.996432,154990.347025,0
P01,test,47,0,rice,B,12,3,1000,154990.479262,154991.429971,154995.430535,0
P01,test,48,0,hocho,G,12,3,448,154995.565966,154996.513569,154999.963923,0
