folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
ex_R_4,stat_var,0,0,QR未検出,,stat,binary,,var,,1,,1,0.644119,,0.644119,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644337,,0.644337,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.690905,,0.690905,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.651646,,0.651646,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644239,,0.644239,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644320,,0.644320,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644147,,0.644147,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.667421,,0.667421,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.652753,,0.652753,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_4,stat_var,1,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_4,stat_var,0,0,QR未検出,,stat,binary,,var,,1,,1,0.644168,,0.644168,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.650314,,0.650314,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.828254,,0.828254,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.764524,,0.764524,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644199,,0.644199,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.674411,,0.674411,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.653184,,0.653184,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.780635,,0.780635,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.735299,,0.735299,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_4,stat_var,1,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_4,stat_var,0,0,QR未検出,,stat,binary,,var,,1,,1,0.644092,,0.644092,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.655673,,0.655673,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.967381,,0.967381,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.953544,,0.953544,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644267,,0.644267,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644313,,0.644313,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.909603,,0.909603,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.790062,,0.790062,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_8,stat_var,1,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_8,stat_var,0,0,QR未検出,,stat,binary,,var,,1,,1,0.644071,,0.644071,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_12,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.806626,,0.806626,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.731364,,0.731364,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_B_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644217,,0.644217,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_B_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
