participant_id,participant_name,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P04,ngo,0,1,rice,G,8,4,2717,23669.669753,23670.619794,23676.337472,0
P04,ngo,1,0,rice,G,16,4,1301,23681.245848,23682.203672,23686.505001,0
P04,ngo,2,0,rice,B,8,2,3100,23686.564897,23687.521871,23693.621151,0
P04,ngo,3,0,hocho,B,10,2,1348,23693.682105,23694.639693,23698.987131,0
P04,ngo,4,0,hocho,B,12,2,950,23699.048427,23700.003508,23703.954316,0
P04,ngo,5,0,rice,G,4,3,1266,23704.014640,23704.970218,23709.237604,0
P04,ngo,6,0,nagaoka_fireworks,G,16,4,1883,23709.286207,23710.255136,23715.137801,0
P04,ngo,7,0,ex,R,4,1,1050,23715.200064,23716.153687,23720.204489,0
P04,ngo,8,0,ex,B,8,2,783,23720.265727,23721.220354,23725.004465,0
P04,ngo,9,0,nagaoka_fireworks,B,10,3,550,23725.055345,23726.020389,23729.571225,0
P04,ngo,10,0,nagaoka_fireworks,G,10,4,500,23729.620319,23730.588503,23734.088082,0
P04,ngo,11,0,nagaoka_fireworks,B,16,4,464,23734.136268,23735.103899,23738.571348,0
P04,ngo,12,0,rice,B,16,4,54667,23738.631786,23739.587231,23797.255095,0
P04,ngo,13,0,ex,G,4,2,517,23797.318378,23798.271410,23801.788933,0
P04,ngo,14,0,hocho,G,12,4,549,23801.850095,23802.806269,23806.355665,0
P04,ngo,15,0,hocho,R,10,4,417,23806.417376,23807.371556,23810.789173,0
P04,ngo,16,0,nagaoka_fireworks,B,8,2,567,23810.837720,23811.804888,23815.372373,0
P04,ngo,17,0,hocho,R,8,1,466,23815.433784,23816.388255,23819.855442,0
P04,ngo,18,0,ex,R,8,1,550,23819.918538,23820.871689,23824.422454,0
P04,ngo,19,0,rice,B,4,2,800,23824.481851,23825.439429,23829.239192,0
P04,ngo,20,0,ex,R,12,4,465,23829.300870,23830.257893,23833.722637,0
P04,ngo,21,0,nagaoka_fireworks,R,10,3,17,23833.771923,23834.738511,23837.755840,0
P04,ngo,22,0,rice,G,8,3,681,23837.772988,23838.771994,23842.456064,0
P04,ngo,23,0,hocho,G,10,3,332,23842.517398,23843.473783,23846.806139,0
P04,ngo,24,0,hocho,B,4,1,469,23846.867285,23847.822044,23851.292152,0
P04,ngo,25,0,rice,R,12,4,567,23851.352111,23852.305452,23855.873118,0
P04,ngo,26,0,ex,B,4,1,417,23855.934685,23856.889698,23860.306588,0
P04,ngo,27,0,ex,B,12,4,0,23860.369045,23861.322189,23864.323695,0
P04,ngo,28,0,hocho,G,4,1,416,23864.385464,23865.338927,23868.755974,0
P04,ngo,29,0,nagaoka_fireworks,G,8,2,467,23868.804201,23869.772307,23873.239865,0
P04,ngo,30,0,nagaoka_fireworks,G,4,2,416,23873.287522,23874.255687,23877.673205,0
P04,ngo,31,0,rice,R,16,4,400,23877.730157,23878.689092,23882.090060,0
P04,ngo,32,0,rice,R,4,1,933,23882.148661,23883.105833,23887.040138,0
P04,ngo,33,0,nagaoka_fireworks,R,4,2,550,23887.088526,23888.056317,23891.606986,0
P04,ngo,34,0,nagaoka_fireworks,G,12,4,667,23891.652551,23892.622705,23896.290395,0
P04,ngo,35,0,ex,B,10,3,383,23896.351078,23897.306051,23900.690257,0
P04,ngo,36,0,hocho,B,8,1,1133,23900.752351,23901.706164,23905.840289,0
P04,ngo,37,0,hocho,G,8,2,483,23905.900460,23906.856203,23910.340340,0
P04,ngo,38,0,hocho,R,12,3,517,23910.398761,23911.356253,23914.873737,0
P04,ngo,39,0,hocho,G,16,4,482,23914.935221,23915.891742,23919.373792,0
P04,ngo,40,0,hocho,R,16,4,350,23919.434542,23920.390606,23923.740553,0
P04,ngo,41,0,ex,B,16,4,383,23923.800135,23924.756378,23928.140519,0
P04,ngo,42,0,rice,B,10,3,417,23928.200970,23929.156469,23932.574288,0
P04,ngo,43,0,ex,G,16,4,417,23932.635924,23933.589815,23937.007325,0
P04,ngo,44,0,nagaoka_fireworks,R,12,3,349,23937.054224,23938.024909,23941.374194,0
P04,ngo,45,0,nagaoka_fireworks,R,16,4,383,23941.423541,23942.389996,23945.774125,0
P04,ngo,46,0,rice,R,10,4,500,23945.833561,23946.790053,23950.290925,0
P04,ngo,47,0,hocho,B,16,2,552,23950.349908,23951.306928,23954.860093,0
P04,ngo,48,0,rice,G,10,4,1384,23954.920987,23955.873526,23960.258564,0
P04,ngo,49,0,ex,G,8,3,433,23960.322008,23961.273892,23964.707690,0
P04,ngo,50,0,ex,G,10,4,467,23964.766026,23965.723646,23969.191184,0
P04,ngo,51,0,rice,R,8,3,550,23969.250061,23970.207289,23973.757883,0
P04,ngo,52,0,hocho,R,4,1,433,23973.818763,23974.774106,23978.207874,0
P04,ngo,53,0,nagaoka_fireworks,B,4,1,433,23978.254712,23979.223877,23982.657929,0
P04,ngo,54,0,rice,G,12,4,467,23982.716834,23983.673906,23987.141402,0
P04,ngo,55,0,nagaoka_fireworks,R,8,1,500,23987.189446,23988.157259,23991.658127,0
P04,ngo,56,0,rice,B,12,3,483,23991.716830,23992.673982,23996.158018,0
P04,ngo,57,0,ex,G,12,4,751,23996.216153,23997.174035,24000.925866,0
P04,ngo,58,0,ex,R,16,4,616,24000.987083,24001.941020,24005.558354,0
P04,ngo,59,0,ex,R,10,3,233,24005.622861,24006.574136,24009.808500,0
P04,ngo,60,0,nagaoka_fireworks,B,12,4,183,24009.853644,24010.824224,24014.008548,0
