participant_id,participant_name,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P02,onji,0,1,rice,G,8,3,10753,157140.652475,157141.601550,157155.354264,0
P02,onji,1,0,nagaoka_fireworks,B,16,3,13101,157157.632123,157158.602334,157174.703230,0
P02,onji,2,0,nagaoka_fireworks,G,16,3,8117,157174.752415,157175.719767,157186.837310,0
P02,onji,3,0,nagaoka_fireworks,R,16,3,2766,157186.886810,157187.852715,157193.619959,0
P02,onji,4,0,rice,G,8,2,1567,157193.637588,157194.636358,157199.204803,0
P02,onji,5,0,nagaoka_fireworks,G,10,2,1600,157199.253494,157200.222162,157204.821425,0
P02,onji,6,0,ex,G,12,3,1548,157204.885917,157205.836957,157210.388384,0
P02,onji,7,0,nagaoka_fireworks,G,4,1,2234,157210.437887,157211.404869,157216.638946,0
P02,onji,8,0,hocho,R,10,2,599,157216.701579,157217.655268,157221.255759,0
P02,onji,9,0,rice,B,10,2,1300,157221.316524,157222.272139,157226.572673,0
P02,onji,10,0,nagaoka_fireworks,R,4,1,1050,157226.622427,157227.589064,157231.639765,0
P02,onji,11,0,ex,B,16,3,1034,157231.700763,157232.655053,157236.689964,0
P02,onji,12,0,rice,G,4,2,900,157236.749671,157237.706394,157241.606704,0
P02,onji,13,0,rice,B,4,1,1300,157241.667217,157242.623258,157246.923639,0
P02,onji,14,0,rice,B,12,2,950,157246.983572,157247.940165,157251.890001,0
P02,onji,15,0,rice,R,10,3,1049,157251.949804,157252.908024,157256.956612,0
P02,onji,16,0,hocho,G,4,1,799,157257.018777,157257.974002,157261.806733,0
P02,onji,17,0,rice,R,12,3,950,157261.866898,157262.825408,157266.774586,0
P02,onji,18,0,hocho,G,16,3,834,157266.835922,157267.790127,157271.624891,0
P02,onji,19,0,ex,G,10,4,867,157271.688877,157272.642584,157276.508429,0
P02,onji,20,0,hocho,R,12,2,1250,157276.572797,157277.524948,157281.775336,0
P02,onji,21,0,nagaoka_fireworks,R,10,2,568,157281.824064,157282.791850,157286.360009,0
P02,onji,22,0,rice,G,10,4,914,157286.420747,157287.375485,157291.292570,0
P02,onji,23,0,hocho,R,16,3,850,157291.353816,157292.308002,157296.159727,0
P02,onji,24,0,hocho,B,4,1,900,157296.222048,157297.176138,157301.076458,0
P02,onji,25,0,rice,R,16,3,432,157301.137452,157302.093625,157305.526474,0
P02,onji,26,0,ex,R,12,2,484,157305.589524,157306.543078,157310.027031,0
P02,onji,27,0,ex,G,16,4,700,157310.089521,157311.043232,157314.743709,0
P02,onji,28,0,rice,G,16,4,584,157314.804545,157315.760236,157319.343888,0
P02,onji,29,0,ex,B,10,2,567,157319.405752,157320.360395,157323.927935,0
P02,onji,30,0,hocho,G,10,2,1067,157323.988581,157324.944204,157329.011090,0
P02,onji,31,0,ex,G,8,2,384,157329.071895,157330.027716,157333.411447,0
P02,onji,32,0,hocho,G,12,3,800,157333.472487,157334.427756,157338.228156,0
P02,onji,33,0,hocho,B,16,1,767,157338.289977,157339.245069,157343.011883,0
P02,onji,34,0,ex,R,4,1,684,157343.073254,157344.028323,157347.711977,0
P02,onji,35,0,nagaoka_fireworks,B,10,2,717,157347.761407,157348.728525,157352.445754,0
P02,onji,36,0,ex,R,8,1,750,157352.506731,157353.462247,157357.212438,0
P02,onji,37,0,hocho,B,10,1,800,157357.271552,157358.229079,157362.029376,0
P02,onji,38,0,ex,R,10,2,384,157362.091512,157363.046022,157366.429750,0
P02,onji,39,0,nagaoka_fireworks,G,12,4,884,157366.476394,157367.446218,157371.329937,0
P02,onji,40,0,nagaoka_fireworks,R,8,1,700,157371.377541,157372.345512,157376.046845,0
P02,onji,41,0,rice,R,8,1,717,157376.103866,157377.063210,157380.780561,0
P02,onji,42,0,rice,B,8,1,517,157380.836722,157381.796910,157385.313835,0
P02,onji,43,0,hocho,G,8,2,465,157385.371111,157386.332567,157389.797556,0
P02,onji,44,0,nagaoka_fireworks,B,12,3,433,157389.842645,157390.813999,157394.247715,0
P02,onji,45,0,hocho,B,8,1,500,157394.305613,157395.264285,157398.764670,0
P02,onji,46,0,ex,B,12,3,367,157398.823532,157399.781127,157403.148444,0
P02,onji,47,0,hocho,B,12,1,615,157403.207782,157404.164722,157407.781885,0
P02,onji,48,0,rice,B,16,2,550,157407.840068,157408.798290,157412.348652,0
P02,onji,49,0,nagaoka_fireworks,R,12,3,434,157412.396821,157413.364121,157416.798912,0
P02,onji,50,0,nagaoka_fireworks,B,8,1,650,157416.845311,157417.815293,157421.465709,0
P02,onji,51,0,rice,R,4,1,450,157421.524043,157422.482376,157425.932631,0
P02,onji,52,0,ex,B,8,1,2267,157425.991552,157426.949161,157432.215702,0
P02,onji,53,0,ex,R,16,3,550,157432.275724,157433.232844,157436.783167,0
P02,onji,54,0,ex,B,4,1,518,157436.842279,157437.799707,157441.317941,0
P02,onji,55,0,rice,G,12,4,634,157441.374298,157442.333344,157445.966948,0
P02,onji,56,0,hocho,R,8,1,467,157446.025844,157446.983581,157450.450680,0
P02,onji,57,0,ex,G,4,1,401,157450.510600,157451.467028,157454.867637,0
P02,onji,58,0,nagaoka_fireworks,G,8,2,468,157454.911611,157455.883877,157459.352357,0
P02,onji,59,0,hocho,R,4,1,517,157459.410094,157460.367498,157463.884736,0
P02,onji,60,0,nagaoka_fireworks,B,4,1,834,157463.930504,157464.901063,157468.735009,0
