participant_id,participant_name,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P05,rito,0,1,rice,G,8,4,3633,24773.389236,24774.341062,24780.974483,0
P05,rito,1,0,rice,R,4,1,1650,24788.367615,24789.324615,24793.975320,0
P05,rito,2,0,hocho,R,10,3,2700,24794.035693,24794.991333,24800.691795,0
P05,rito,3,0,ex,R,12,4,2051,24800.753834,24801.708101,24806.759345,0
P05,rito,4,0,rice,B,4,1,1798,24806.820690,24807.774600,24812.576173,0
P05,rito,5,0,nagaoka_fireworks,G,12,4,900,24812.624564,24813.591515,24817.492042,0
P05,rito,6,0,ex,B,8,2,2684,24817.553493,24818.507796,24824.192878,0
P05,rito,7,0,ex,G,8,3,833,24824.254949,24825.208323,24829.041846,0
P05,rito,8,0,hocho,B,8,1,852,24829.103636,24830.057974,24833.911131,0
P05,rito,9,0,nagaoka_fireworks,B,10,2,4767,24833.961434,24834.925132,24842.692254,0
P05,rito,10,0,hocho,R,8,1,1433,24842.753917,24843.708180,24848.142397,0
P05,rito,11,0,rice,B,12,3,1817,24848.201873,24849.158386,24853.975892,0
P05,rito,12,0,nagaoka_fireworks,B,4,1,2567,24854.023819,24854.991626,24860.559516,0
P05,rito,13,0,hocho,R,4,1,1134,24860.621924,24861.575078,24865.709870,0
P05,rito,14,0,ex,B,16,4,1567,24865.772660,24866.725210,24871.292732,0
P05,rito,15,0,ex,R,4,1,1150,24871.354677,24872.309341,24876.459491,0
P05,rito,16,0,hocho,R,12,3,3333,24876.520592,24877.476920,24883.809768,0
P05,rito,17,0,rice,B,8,1,833,24883.869860,24884.825508,24888.659256,0
P05,rito,18,0,rice,R,10,2,8099,24888.719915,24889.675614,24900.776321,0
P05,rito,19,0,hocho,B,16,1,700,24900.837805,24901.792244,24905.493340,0
P05,rito,20,0,rice,G,10,4,983,24905.554093,24906.509274,24910.493246,0
P05,rito,21,0,ex,R,8,1,1400,24910.555688,24911.509110,24915.909853,0
P05,rito,22,0,rice,R,8,1,4483,24915.971072,24916.925752,24924.409980,0
P05,rito,23,0,nagaoka_fireworks,R,8,1,1200,24924.458080,24925.425936,24929.626714,0
P05,rito,24,0,hocho,G,16,4,100,24929.688207,24930.642749,24933.743507,0
P05,rito,25,0,rice,G,16,4,883,24933.803461,24934.759368,24938.643503,0
P05,rito,26,0,rice,G,4,2,916,24938.702937,24939.659838,24943.576956,0
P05,rito,27,0,ex,G,16,4,814,24943.638383,24944.592782,24948.409797,0
P05,rito,28,0,ex,B,10,3,1033,24948.472059,24949.426613,24953.460460,0
P05,rito,29,0,rice,R,12,4,583,24953.520945,24954.476249,24958.060578,0
P05,rito,30,0,nagaoka_fireworks,G,10,4,800,24958.108848,24959.076416,24962.877209,0
P05,rito,31,0,hocho,G,10,3,800,24962.939565,24963.893488,24967.694070,0
P05,rito,32,0,ex,B,12,3,1617,24967.755704,24968.709787,24973.327699,0
P05,rito,33,0,rice,G,12,4,131,24973.386924,24974.343691,24977.477451,0
P05,rito,34,0,nagaoka_fireworks,G,8,3,1500,24977.522090,24978.493310,24982.994104,0
P05,rito,35,0,nagaoka_fireworks,G,16,4,1217,24983.041395,24984.010032,24988.227473,0
P05,rito,36,0,hocho,G,8,2,983,24988.289560,24989.243440,24993.227854,0
P05,rito,37,0,nagaoka_fireworks,R,4,1,1067,24993.275863,24994.243987,24998.311376,0
P05,rito,38,0,nagaoka_fireworks,B,8,1,700,24998.359615,24999.327604,25003.027937,0
P05,rito,39,0,rice,B,16,3,1783,25003.087264,25004.044315,25008.827948,0
P05,rito,40,0,ex,R,16,4,4633,25008.889482,25009.844184,25017.478326,0
P05,rito,41,0,hocho,G,4,1,884,25017.535936,25018.494375,25022.378336,0
P05,rito,42,0,hocho,B,4,1,617,25022.436725,25023.393939,25027.011408,0
P05,rito,43,0,nagaoka_fireworks,B,16,4,715,25027.057437,25028.027239,25031.745067,0
P05,rito,44,0,rice,R,16,4,433,25031.803317,25032.761054,25036.194993,0
P05,rito,45,0,hocho,B,10,1,836,25036.254745,25037.210782,25041.047316,0
P05,rito,46,0,ex,G,10,4,750,25041.107496,25042.061193,25045.811629,0
P05,rito,47,0,ex,G,12,4,1450,25045.872767,25046.827779,25051.278580,0
P05,rito,48,0,nagaoka_fireworks,B,12,4,1150,25051.322735,25052.294252,25056.445198,0
P05,rito,49,0,hocho,B,12,1,1350,25056.504263,25057.461328,25061.812033,0
P05,rito,50,0,nagaoka_fireworks,R,10,1,8983,25061.859010,25062.827727,25074.811596,0
P05,rito,51,0,nagaoka_fireworks,R,12,4,1367,25074.856686,25075.828330,25080.195548,0
P05,rito,52,0,rice,G,8,3,10748,25080.213077,25081.214061,25094.961874,0
P05,rito,53,0,ex,G,4,2,767,25095.021329,25095.978236,25099.745865,0
P05,rito,54,0,ex,R,10,3,600,25099.804154,25100.761647,25104.362528,0
P05,rito,55,0,nagaoka_fireworks,R,16,4,700,25104.409705,25105.378565,25109.079128,0
P05,rito,56,0,nagaoka_fireworks,G,4,1,817,25109.125818,25110.095150,25113.912554,0
P05,rito,57,0,hocho,G,12,4,900,25113.972183,25114.928481,25118.829236,0
P05,rito,58,0,ex,B,4,1,583,25118.887646,25119.845547,25123.429273,0
P05,rito,59,0,hocho,R,16,3,1366,25123.486199,25124.445207,25128.812266,0
P05,rito,60,0,rice,B,10,3,2068,25128.870293,25129.829039,25134.897170,0
