folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
ex_I6,frame_00015.png,frame_00016.png,ex_I6\rgb_max_diff_maps\00015-00016-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I6\frame_00015-frame_00016_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I8,frame_00087.png,frame_00088.png,ex_I8\rgb_max_diff_maps\00087-00088-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I8\frame_00087-frame_00088_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I10,frame_00055.png,frame_00056.png,ex_I10\rgb_max_diff_maps\00055-00056-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I10\frame_00055-frame_00056_ok_temporal_median_n17_median_otsu_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_median_n17_median_otsu_x1.0_k5_i1,
ex_R2,frame_00078.png,frame_00079.png,ex_R2\rgb_max_diff_maps\00078-00079-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R2\frame_00078-frame_00079_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R4,frame_00070.png,frame_00071.png,ex_R4\rgb_max_diff_maps\00070-00071-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R4\frame_00070-frame_00071_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R6,frame_00086.png,frame_00087.png,ex_R6\rgb_max_diff_maps\00086-00087-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R6\frame_00086-frame_00087_ok_temporal_decode_fallback_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_median_gray_x1.0_k5_i1,
ex_R8,frame_00053.png,frame_00054.png,ex_R8\rgb_max_diff_maps\00053-00054-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R8\frame_00053-frame_00054_ok_temporal_vote_n17_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_median_gray_x1.0_k5_i1,
ex_R10,frame_00082.png,frame_00083.png,ex_R10\rgb_max_diff_maps\00082-00083-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R10\frame_00082-frame_00083_ok_temporal_vote_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_gray_x1.0_k5_i1,
ex_X2,frame_00072.png,frame_00073.png,ex_X2\rgb_max_diff_maps\00072-00073-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X2\frame_00072-frame_00073_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X4,frame_00035.png,frame_00036.png,ex_X4\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X4\frame_00035-frame_00036_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X6,frame_00113.png,frame_00114.png,ex_X6\rgb_max_diff_maps\00113-00114-FRAME_rgbmax_scale1.00.png,14,median_eval_analysis\ex_X6\frame_00113-frame_00114_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
