folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
nagaoka_R8,frame_00110.png,frame_00111.png,nagaoka_R8\rgb_max_diff_maps\00110-00111-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R8\frame_00110-frame_00111_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_R10,frame_00100.png,frame_00101.png,nagaoka_R10\rgb_max_diff_maps\00100-00101-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R10\frame_00100-frame_00101_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X2,frame_00027.png,frame_00028.png,nagaoka_X2\rgb_max_diff_maps\00027-00028-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X2\frame_00027-frame_00028_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X4,frame_00057.png,frame_00058.png,nagaoka_X4\rgb_max_diff_maps\00057-00058-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X4\frame_00057-frame_00058_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X6,frame_00097.png,frame_00098.png,nagaoka_X6\rgb_max_diff_maps\00097-00098-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X6\frame_00097-frame_00098_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X8,frame_00055.png,frame_00056.png,nagaoka_X8\rgb_max_diff_maps\00055-00056-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X8\frame_00055-frame_00056_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X10,frame_00046.png,frame_00047.png,nagaoka_X10\rgb_max_diff_maps\00046-00047-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X10\frame_00046-frame_00047_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B2,frame_00112.png,frame_00113.png,hocho_B2\rgb_max_diff_maps\00112-00113-FRAME_rgbmax_scale1.00.png,15,median_eval_analysis\hocho_B2\frame_00112-frame_00113_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B4,frame_00046.png,frame_00047.png,hocho_B4\rgb_max_diff_maps\00046-00047-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_B4\frame_00046-frame_00047_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B6,frame_00112.png,frame_00113.png,hocho_B6\rgb_max_diff_maps\00112-00113-FRAME_rgbmax_scale1.00.png,15,median_eval_analysis\hocho_B6\frame_00112-frame_00113_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
