folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,0,0.597429,,0.597429,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,0,rice,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988955
rice_R_8,QR未検出,,stat,,std,,0,0.654242,,0.654242,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,1,rice,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988955
rice_R_12,QR未検出,,stat,,std,,0,0.914102,,0.914102,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,2,rice,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,0,0.546499,,0.546499,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,0,0.572183,,0.572183,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,0,0.815280,,0.815280,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_R_4,QR未検出,,stat,,std,,0,0.573374,,0.573374,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,6,hocho,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_R_8,QR未検出,,stat,,std,,0,0.597087,,0.597087,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,7,hocho,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_R_12,QR未検出,,stat,,std,,0,0.792993,,0.792993,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,8,hocho,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988955
ex_R_4,QR未検出,,stat,,std,,0,0.551813,,0.551813,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,9,ex,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988955
ex_R_8,QR未検出,,stat,,std,,0,0.603871,,0.603871,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,10,ex,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988955
ex_R_12,QR未検出,,stat,,std,,0,0.873800,,0.873800,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,11,ex,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988955
rice_G_4,QR未検出,,stat,,std,,0,0.601435,,0.601435,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,12,rice,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988955
rice_G_8,QR未検出,,stat,,std,,0,0.662048,,0.662048,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,13,rice,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988955
rice_G_12,,zxing_median_otsu,stat,,std,,0,0.922197,0.922197,0.922197,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k5_i1,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_G_4,QR未検出,,stat,,std,,0,0.555988,,0.555988,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_G_8,QR未検出,,stat,,std,,0,0.599969,,0.599969,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988955
nagaoka_fireworks_G_12,QR未検出,,stat,,std,,0,0.803403,,0.803403,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_G_4,QR未検出,,stat,,std,,0,0.575631,,0.575631,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,18,hocho,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_G_8,QR未検出,,stat,,std,,0,0.578140,,0.578140,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,19,hocho,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988955
hocho_G_12,QR未検出,,stat,,std,,0,0.753027,,0.753027,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,20,hocho,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988955
ex_G_4,QR未検出,,stat,,std,,0,0.541896,,0.541896,frame_00000.png,frame_00116.png,r180_e60_f0.mp4,180 Hz,1/60,蛍光灯なし,58.825 fps,180,60,0,21,ex,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988955
