video,rate_hz,exp,fluoro,fps,cond,folder,image,channel,token,intensity,start_frame,end_frame,window_end_frame,analysis_frames,extract_sec,saved_frames,max_frames,note,decode_folder,decode_frame_1,decode_frame_2,decode_diff_image,decode_analysis_image,decode_decoded_text,decode_success,decode_method,decode_note,decode_recall,decode_precision,decode_accuracy,decode_noise,decode_gt_note
r60_e250_f1.mp4,60,250,1,59.965470,17,nagaoka_fireworks_G_12,nagaoka_fireworks,G,G,12,7028,7148,7148,120,2.001152,120,120,,nagaoka_fireworks_G_12,frame_00118.png,frame_00119.png,nagaoka_fireworks_G_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,18,hocho_G_4,hocho,G,G,4,7388,7508,7508,120,2.001152,120,120,,hocho_G_4,frame_00118.png,frame_00119.png,hocho_G_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,19,hocho_G_8,hocho,G,G,8,7748,7868,7868,120,2.001152,120,120,,hocho_G_8,frame_00118.png,frame_00119.png,hocho_G_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,20,hocho_G_12,hocho,G,G,12,8108,8228,8228,120,2.001152,120,120,,hocho_G_12,frame_00118.png,frame_00119.png,hocho_G_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,21,ex_G_4,ex,G,G,4,8468,8588,8588,120,2.001152,120,120,,ex_G_4,frame_00118.png,frame_00119.png,ex_G_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,22,ex_G_8,ex,G,G,8,8828,8948,8948,120,2.001152,120,120,,ex_G_8,frame_00118.png,frame_00119.png,ex_G_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,23,ex_G_12,ex,G,G,12,9188,9308,9308,120,2.001152,120,120,,ex_G_12,frame_00118.png,frame_00119.png,ex_G_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,24,rice_B_4,rice,B,B,4,9548,9668,9668,120,2.001152,120,120,,rice_B_4,frame_00118.png,frame_00119.png,rice_B_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,25,rice_B_8,rice,B,B,8,9908,10028,10028,120,2.001152,120,120,,rice_B_8,frame_00118.png,frame_00119.png,rice_B_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,26,rice_B_12,rice,B,B,12,10268,10388,10388,120,2.001152,120,120,,rice_B_12,frame_00118.png,frame_00119.png,rice_B_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,27,nagaoka_fireworks_B_4,nagaoka_fireworks,B,B,4,10628,10748,10748,120,2.001152,120,120,,nagaoka_fireworks_B_4,frame_00118.png,frame_00119.png,nagaoka_fireworks_B_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,28,nagaoka_fireworks_B_8,nagaoka_fireworks,B,B,8,10988,11108,11108,120,2.001152,120,120,,nagaoka_fireworks_B_8,frame_00118.png,frame_00119.png,nagaoka_fireworks_B_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,29,nagaoka_fireworks_B_12,nagaoka_fireworks,B,B,12,11348,11468,11468,120,2.001152,120,120,,nagaoka_fireworks_B_12,frame_00118.png,frame_00119.png,nagaoka_fireworks_B_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,30,hocho_B_4,hocho,B,B,4,11708,11828,11828,120,2.001152,120,120,,hocho_B_4,frame_00118.png,frame_00119.png,hocho_B_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,31,hocho_B_8,hocho,B,B,8,12068,12188,12188,120,2.001152,120,120,,hocho_B_8,frame_00118.png,frame_00119.png,hocho_B_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,32,hocho_B_12,hocho,B,B,12,12428,12548,12548,120,2.001152,120,120,,hocho_B_12,frame_00118.png,frame_00119.png,hocho_B_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,33,ex_B_4,ex,B,B,4,12788,12908,12908,120,2.001152,120,120,,ex_B_4,frame_00118.png,frame_00119.png,ex_B_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,34,ex_B_8,ex,B,B,8,13148,13268,13268,120,2.001152,120,120,,ex_B_8,frame_00118.png,frame_00119.png,ex_B_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,35,ex_B_12,ex,B,B,12,13508,13628,13628,120,2.001152,120,120,,ex_B_12,frame_00118.png,frame_00119.png,ex_B_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,36,rice_I_4,rice,min,I,4,13868,13988,13988,120,2.001152,120,120,,rice_I_4,frame_00118.png,frame_00119.png,rice_I_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,37,rice_I_8,rice,min,I,8,14228,14348,14348,120,2.001152,120,120,,rice_I_8,frame_00118.png,frame_00119.png,rice_I_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,38,rice_I_12,rice,min,I,12,14588,14708,14708,120,2.001152,120,120,,rice_I_12,frame_00118.png,frame_00119.png,rice_I_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,39,nagaoka_fireworks_I_4,nagaoka_fireworks,min,I,4,14948,15068,15068,120,2.001152,120,120,,nagaoka_fireworks_I_4,frame_00118.png,frame_00119.png,nagaoka_fireworks_I_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,40,nagaoka_fireworks_I_8,nagaoka_fireworks,min,I,8,15308,15428,15428,120,2.001152,120,120,,nagaoka_fireworks_I_8,frame_00118.png,frame_00119.png,nagaoka_fireworks_I_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
