index,channel,mode,sample_count,avg_psnr,avg_ssim
1,B,inv,4,52.27681282975176,0.9705924634613751
1,B,normal,4,52.416667251166466,0.9706066467360982
1,G,inv,4,52.35234627805011,0.9701594701521623
1,G,normal,4,52.33278583442633,0.9705530737855182
1,I,inv,4,54.47752000285411,0.9936417001042962
1,I,normal,4,54.81780694064441,0.9936621955091477
1,R,inv,4,52.36563042711685,0.9704258488842286
1,R,normal,4,52.31967820247837,0.9704527554929593
1,X,inv,4,54.686641371232014,0.9936039848530739
1,X,normal,4,54.58013659692499,0.9936287560230123
2,B,inv,4,49.8084666002668,0.9704792793281372
2,B,normal,4,50.050594143544004,0.9705064641622696
2,G,inv,4,49.92854062880828,0.970145279413626
2,G,normal,4,49.91310779814932,0.9705694963574991
2,I,inv,4,51.578727367265216,0.9935440809303411
2,I,normal,4,51.97977743438969,0.9935772939561023
2,R,inv,4,49.950329399696244,0.9701612576797902
2,R,normal,4,49.89156518519861,0.9705542857128787
2,X,inv,4,51.81126448262049,0.9935097868216555
2,X,normal,4,51.706647541862615,0.9935333535397539
3,B,inv,4,47.86194895972635,0.9703994586054999
3,B,normal,4,48.11973588317517,0.970428460839034
3,G,inv,4,47.98876592471598,0.9696836495909766
3,G,normal,4,47.97422199111925,0.9704027032719076
3,I,inv,4,49.2858239182141,0.9934630773629123
3,I,normal,4,49.63825463035181,0.9935000415879552
3,R,inv,4,48.01074407271098,0.970299592264431
3,R,normal,4,47.952427546104154,0.9707006486200415
3,X,inv,4,49.4938802196807,0.9935718348419946
3,X,normal,4,49.39803093895924,0.9936054292901634
4,B,inv,4,46.25145643814719,0.9703544785450627
4,B,normal,4,46.49192331995278,0.9703817521983094
4,G,inv,4,46.37124299518972,0.9692918757723707
4,G,normal,4,46.35596094527582,0.9700056673066053
4,I,inv,4,47.40489707292017,0.9933144783737711
4,I,normal,4,47.700356592227195,0.9933436578784036
4,R,inv,4,46.39133214397221,0.9701192829078048
4,R,normal,4,46.33600239733033,0.970544199436849
4,X,inv,4,47.58412237023805,0.9934201300240766
4,X,normal,4,47.498004523576526,0.9934742255956215
5,B,inv,4,44.88673507367176,0.9701550232187715
5,B,normal,4,45.15533704285275,0.9703597110893953
5,G,inv,4,44.99683986422001,0.9689740083654697
5,G,normal,4,44.97856813891986,0.9697735998587768
5,I,inv,4,45.831939919656286,0.9930174031621188
5,I,normal,4,46.1464519771951,0.9932217213280918
5,R,inv,4,45.023375556569356,0.969873443737001
5,R,normal,4,44.95801538805662,0.9703014256404907
5,X,inv,4,46.00214283701641,0.9930407259845688
5,X,normal,4,45.902898573923125,0.9932805455145463
6,B,inv,4,43.698911162536476,0.9701769575333372
6,B,normal,4,44.0090594016897,0.9703791473762634
6,G,inv,4,43.799204232440566,0.9681217887647328
6,G,normal,4,43.7793945780428,0.9690106351543195
6,I,inv,4,44.48059245804303,0.9928779922165412
6,I,normal,4,44.833833181910066,0.9930800368503991
6,R,inv,4,43.83466145960885,0.9696987512225393
6,R,normal,4,43.75730738435264,0.9702701044687195
6,X,inv,4,44.64656179246016,0.9930359191385052
6,X,normal,4,44.53405751020301,0.9932523484746392
7,B,inv,4,42.646422395887924,0.9702307485389927
7,B,normal,4,43.00869495380075,0.9704265385148978
7,G,inv,4,42.73803659133383,0.9678017325257514
7,G,normal,4,42.718281475642264,0.9686769047849633
7,I,inv,4,43.29851517319922,0.9928167432603132
7,I,normal,4,43.704419210719294,0.9930034964507828
7,R,inv,4,42.78515969748426,0.9696431038629705
7,R,normal,4,42.693692900762684,0.9702338143746394
7,X,inv,4,43.46576491735288,0.9929908494730694
7,X,normal,4,43.33869099567744,0.9932285297726093
8,B,inv,4,41.70116251437591,0.9703040580808039
8,B,normal,4,42.12227379346927,0.9704984293821917
8,G,inv,4,41.78540686493736,0.9669351980043851
8,G,normal,4,41.767294133949214,0.9678685637833172
8,I,inv,4,42.24962938354145,0.9926133605600694
8,I,normal,4,42.71692529163499,0.9927959783503371
8,R,inv,4,41.84721907822688,0.9692584787176353
8,R,normal,4,41.73922385096751,0.9698561800900257
8,X,inv,4,42.42381022374309,0.9927271228321599
8,X,normal,4,42.27990080472931,0.9929655176076688
