finished_at,video,status,elapsed_sec,note,phone_copied_total
2026-08-05 20:20:33,r45_e60_f0.mp4,OK,7043.9,,600
2026-08-05 22:17:30,r45_e60_f1.mp4,OK,7003.9,,600
2026-08-06 00:15:53,r45_e125_f0.mp4,OK,7087.5,,600
2026-08-06 02:10:37,r45_e125_f1.mp4,OK,6868.4,,600
2026-08-06 04:09:03,r45_e250_f0.mp4,OK,7090.1,,600
2026-08-06 06:03:14,r45_e250_f1.mp4,OK,6835.4,,600
2026-08-06 07:42:57,r60_e60_f0.mp4,OK,5968.7,,600
2026-08-06 09:19:34,r60_e60_f1.mp4,OK,5781.9,,600
2026-08-06 10:59:56,r60_e125_f0.mp4,OK,6007.2,,600
2026-08-06 12:35:50,r60_e125_f1.mp4,OK,5739.1,,600
2026-08-06 14:17:05,r60_e250_f0.mp4,OK,6059.0,,600
2026-08-06 15:52:29,r60_e250_f1.mp4,OK,5708.8,,600
2026-08-06 17:48:47,r90_e60_f0.mp4,OK,6962.1,,600
2026-08-06 19:42:52,r90_e60_f1.mp4,OK,6829.4,,600
2026-08-06 21:41:32,r90_e125_f0.mp4,OK,7104.3,,600
2026-08-06 23:35:08,r90_e125_f1.mp4,OK,6799.9,,600
2026-08-07 01:33:08,r90_e250_f0.mp4,OK,7063.8,,600
2026-08-07 03:27:08,r90_e250_f1.mp4,OK,6821.0,,600
2026-08-07 05:19:52,r120_e60_f0.mp4,OK,6747.6,,600
2026-08-07 07:08:49,r120_e60_f1.mp4,OK,6521.1,,600
2026-08-07 08:47:07,r120_e125_f0.mp4,OK,5881.8,,600
2026-08-07 10:19:36,r120_e125_f1.mp4,OK,5533.1,,600
2026-08-07 11:57:14,r120_e250_f0.mp4,OK,5841.9,,600
2026-08-07 13:30:53,r120_e250_f1.mp4,OK,5602.4,,600
2026-08-07 15:22:08,r180_e60_f0.mp4,OK,6658.8,,600
