image,channel,any_success_pct
ex,R,17.7778
ex,G,24.4444
ex,B,21.1111
ex,I,6.6667
ex,X,18.8889
hocho,R,11.1111
hocho,G,6.6667
hocho,B,5.5556
hocho,I,3.3333
hocho,X,6.6667
nagaoka_fireworks,R,10.0000
nagaoka_fireworks,G,6.6667
nagaoka_fireworks,B,5.5556
nagaoka_fireworks,I,0.0000
nagaoka_fireworks,X,0.0000
rice,R,27.7778
rice,G,30.0000
rice,B,0.0000
rice,I,0.0000
rice,X,15.5556
