folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.008769,0.092007,0.606908,0.079711,,fourier,,,22.500000,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.938552,0.454658,0.566998,0.493689,,fourier,,,22.500000,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.891036,0.575465,0.720509,0.212082,,fourier,,,22.500000,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.003094,0.096702,0.625861,0.025707,,fourier,,,11.250000,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.006102,0.165625,0.626288,0.027314,,fourier,,,11.250000,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.008213,0.206913,0.626788,0.028077,,fourier,,,11.250000,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000101,0.001433,0.609704,0.093997,,fourier,,,22.500000,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.997985,0.443782,0.543054,0.492436,,fourier,,,22.500000,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.991648,0.542939,0.692481,0.236994,,fourier,,,22.500000,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.005426,0.224806,0.630429,0.033367,,fourier,,,11.250000,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.032707,0.623104,0.639988,0.033729,,fourier,,,11.250000,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.056377,0.732851,0.648341,0.034295,,fourier,,,11.250000,12
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000509,0.086109,0.633491,0.004802,,fourier,,,22.500000,4
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.009163,0.070236,0.594377,0.092180,,fourier,,,22.500000,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.961440,0.423824,0.509223,0.692947,,fourier,,,22.500000,12
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635267,0.000005,,fourier,,,11.250000,4
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000038,0.235294,0.635243,0.000050,,fourier,,,11.250000,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000427,0.400901,0.635197,0.000412,,fourier,,,11.250000,12
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000518,0.021152,0.626718,0.022102,,fourier,,,22.500000,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.012377,0.037058,0.522490,0.257810,,fourier,,,22.500000,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.952004,0.503535,0.640149,0.421550,,fourier,,,22.500000,12
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000005,1.000000,0.635276,0.000027,,fourier,,,11.250000,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000211,0.709677,0.635320,0.000080,,fourier,,,11.250000,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002005,0.710884,0.635708,0.000643,,fourier,,,11.250000,12
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000293,0.009081,0.623735,0.033706,,fourier,,,22.500000,4
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.005522,0.014657,0.501902,0.328129,,fourier,,,22.500000,8
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.976853,0.525790,0.670225,0.350350,,fourier,,,22.500000,12
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000077,1.000000,0.635302,0.000007,,fourier,,,11.250000,4
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002504,0.986767,0.636175,0.000050,,fourier,,,11.250000,8
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.013701,0.965191,0.640091,0.000391,,fourier,,,11.250000,12
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000177,0.014275,0.630868,0.007941,,fourier,,,22.500000,4
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002926,0.014391,0.563244,0.128492,,fourier,,,22.500000,8
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.989331,0.462582,0.576898,0.622227,,fourier,,,22.500000,12
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635152,0.000509,,fourier,,,11.250000,4
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000029,0.071429,0.635148,0.000534,,fourier,,,11.250000,8
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000532,0.365132,0.635131,0.000845,,fourier,,,11.250000,12
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000312,0.006945,0.619126,0.033447,,fourier,,,22.500000,4
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.996522,0.432185,0.521213,0.684846,,fourier,,,22.500000,8
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.982893,0.540790,0.689353,0.360082,,fourier,,,22.500000,12
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000019,0.004405,0.633699,0.000918,,fourier,,,11.250000,4
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000379,0.079000,0.633801,0.000948,,fourier,,,11.250000,8
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002024,0.291034,0.634214,0.001191,,fourier,,,11.250000,12
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000014,0.000375,0.621292,0.033072,,fourier,,,22.500000,4
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.998115,0.427077,0.510955,0.673109,,fourier,,,22.500000,8
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.986884,0.523871,0.668077,0.355673,,fourier,,,22.500000,12
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.006534,0.879277,0.637330,0.000774,,fourier,,,11.250000,4
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.032616,0.970592,0.646810,0.000837,,fourier,,,11.250000,8
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.059322,0.973011,0.656310,0.001119,,fourier,,,11.250000,12
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.001012,0.052658,0.629001,0.015125,,fourier,,,22.500000,4
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022451,0.070339,0.535237,0.205392,,fourier,,,22.500000,8
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.917003,0.488604,0.619672,0.491483,,fourier,,,22.500000,12
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635194,0.003422,,fourier,,,11.250000,4
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000019,0.065574,0.635181,0.003522,,fourier,,,11.250000,8
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000201,0.184211,0.635022,0.003821,,fourier,,,11.250000,12
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000408,0.010354,0.621208,0.038032,,fourier,,,22.500000,4
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.988300,0.434946,0.527449,0.632469,,fourier,,,22.500000,8
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.954801,0.547450,0.695641,0.317849,,fourier,,,22.500000,12
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635253,0.004260,,fourier,,,11.250000,4
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000648,0.870968,0.635475,0.004340,,fourier,,,11.250000,8
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002231,0.782828,0.635862,0.004764,,fourier,,,11.250000,12
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000106,0.002943,0.622271,0.036328,,fourier,,,22.500000,4
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.997985,0.426601,0.510020,0.637790,,fourier,,,22.500000,8
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.989245,0.519888,0.662879,0.334916,,fourier,,,22.500000,12
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.001506,0.993671,0.635820,0.001567,,fourier,,,11.250000,4
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023655,0.995759,0.643865,0.001733,,fourier,,,11.250000,8
