image,image_jp,sobel_gray,lap_abs_gray,rgb_pixel_var_mean,pair_ok,pair_n,pair_pct,accum_ok,accum_n,accum_pct,lockin_ok,lockin_n,lockin_pct,fourier_ok,fourier_n,fourier_pct,any4_ok,any4_n,any4_pct
ex,実験,34.68352508544922,21.696443557739258,2460.565643,62,270,22.962962962962962,77,270,28.51851851851852,54,270,20.0,73,270,27.037037037037038,88,270,32.592592592592595
rice,自然,20.554946899414062,12.982133865356445,2901.8650706666667,50,270,18.51851851851852,63,270,23.333333333333332,63,270,23.333333333333332,67,270,24.814814814814813,81,270,30.0
hocho,工事,55.82755661010742,38.271915435791016,3549.0789069999996,11,270,4.074074074074074,30,270,11.11111111111111,49,270,18.14814814814815,8,270,2.962962962962963,60,270,22.22222222222222
nagaoka_fireworks,花火,69.84540557861328,41.97040557861328,5191.269603333334,8,270,2.962962962962963,20,270,7.407407407407407,11,270,4.074074074074074,19,270,7.037037037037037,31,270,11.481481481481481
