level,R,G,B,min(I),max(X)
2,0.652290,0.653610,0.657776,0.655281,0.652927
4,0.691653,0.690851,0.696041,0.676659,0.685473
6,0.777728,0.779082,0.738568,0.747566,0.753977
8,0.827072,0.803247,0.761104,0.774250,0.796091
10,0.834112,0.824898,0.786386,0.777714,0.807910
