video,rate_hz,exp,fluoro,fps,cond,folder,image,channel,token,intensity,start_frame,end_frame,window_end_frame,analysis_frames,extract_sec,saved_frames,max_frames,note,decode_folder,decode_frame_1,decode_frame_2,decode_diff_image,decode_analysis_image,decode_decoded_text,decode_success,decode_method,decode_note,decode_recall,decode_precision,decode_accuracy,decode_noise,decode_gt_note
r180_e250_f1.mp4,180,250,1,59.960755,0,rice_R_4,rice,R,R,4,1282,1402,1402,120,2.001309,120,120,,rice_R_4,frame_00178.png,frame_00179.png,rice_R_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,1,rice_R_8,rice,R,R,8,1642,1762,1762,120,2.001309,120,120,,rice_R_8,frame_00178.png,frame_00179.png,rice_R_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,2,rice_R_12,rice,R,R,12,2002,2122,2122,120,2.001309,120,120,,rice_R_12,frame_00178.png,frame_00179.png,rice_R_12\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,3,nagaoka_fireworks_R_4,nagaoka_fireworks,R,R,4,2362,2482,2482,120,2.001309,120,120,,nagaoka_fireworks_R_4,frame_00178.png,frame_00179.png,nagaoka_fireworks_R_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,4,nagaoka_fireworks_R_8,nagaoka_fireworks,R,R,8,2722,2842,2842,120,2.001309,120,120,,nagaoka_fireworks_R_8,frame_00178.png,frame_00179.png,nagaoka_fireworks_R_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,5,nagaoka_fireworks_R_12,nagaoka_fireworks,R,R,12,3082,3202,3202,120,2.001309,120,120,,nagaoka_fireworks_R_12,frame_00178.png,frame_00179.png,nagaoka_fireworks_R_12\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,6,hocho_R_4,hocho,R,R,4,3442,3562,3562,120,2.001309,120,120,,hocho_R_4,frame_00178.png,frame_00179.png,hocho_R_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,7,hocho_R_8,hocho,R,R,8,3802,3922,3922,120,2.001309,120,120,,hocho_R_8,frame_00178.png,frame_00179.png,hocho_R_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,8,hocho_R_12,hocho,R,R,12,4162,4282,4282,120,2.001309,120,120,,hocho_R_12,frame_00178.png,frame_00179.png,hocho_R_12\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,9,ex_R_4,ex,R,R,4,4522,4642,4642,120,2.001309,120,120,,ex_R_4,frame_00178.png,frame_00179.png,ex_R_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,10,ex_R_8,ex,R,R,8,4882,5002,5002,120,2.001309,120,120,,ex_R_8,frame_00178.png,frame_00179.png,ex_R_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,11,ex_R_12,ex,R,R,12,5242,5362,5362,120,2.001309,120,120,,ex_R_12,frame_00178.png,frame_00179.png,ex_R_12\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,12,rice_G_4,rice,G,G,4,5602,5722,5722,120,2.001309,120,120,,rice_G_4,frame_00178.png,frame_00179.png,rice_G_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,13,rice_G_8,rice,G,G,8,5962,6082,6082,120,2.001309,120,120,,rice_G_8,frame_00178.png,frame_00179.png,rice_G_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,14,rice_G_12,rice,G,G,12,6322,6442,6442,120,2.001309,120,120,,rice_G_12,frame_00178.png,frame_00179.png,rice_G_12\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,15,nagaoka_fireworks_G_4,nagaoka_fireworks,G,G,4,6682,6802,6802,120,2.001309,120,120,,nagaoka_fireworks_G_4,frame_00178.png,frame_00179.png,nagaoka_fireworks_G_4\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r180_e250_f1.mp4,180,250,1,59.960755,16,nagaoka_fireworks_G_8,nagaoka_fireworks,G,G,8,7042,7162,7162,120,2.001309,120,120,,nagaoka_fireworks_G_8,frame_00178.png,frame_00179.png,nagaoka_fireworks_G_8\rgb_max_diff_maps\00178-00179-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
