folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_G14,frame_00095.png,frame_00096.png,rice_G14\rgb_max_diff_maps\00095-00096-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.863151,0.747427,0.834290,0.060797,
rice_G14,frame_00096.png,frame_00097.png,rice_G14\rgb_max_diff_maps\00096-00097-FRAME_rgbmax_scale1.00.png,median_eval_analysis_all_frames\rice_G14\00096-00097-FRAME_rgbmax_scale1.00_ok_otsu_close_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,otsu_close_x1.0_k5_i1,,0.881544,0.729646,0.827885,0.068819,
rice_G14,frame_00097.png,frame_00098.png,rice_G14\rgb_max_diff_maps\00097-00098-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.804253,0.755089,0.823434,0.057987,
rice_G14,frame_00098.png,frame_00099.png,rice_G14\rgb_max_diff_maps\00098-00099-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.145672,0.437575,0.597233,0.098057,
rice_G14,frame_00099.png,frame_00100.png,rice_G14\rgb_max_diff_maps\00099-00100-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.900000,0.710575,0.819576,0.076449,
rice_G14,frame_00100.png,frame_00101.png,rice_G14\rgb_max_diff_maps\00100-00101-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.901787,0.643200,0.768580,0.153796,
rice_G14,frame_00101.png,frame_00102.png,rice_G14\rgb_max_diff_maps\00101-00102-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.886937,0.718335,0.821796,0.076585,
rice_G14,frame_00102.png,frame_00103.png,rice_G14\rgb_max_diff_maps\00102-00103-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.796412,0.764561,0.826438,0.054255,
rice_G14,frame_00103.png,frame_00104.png,rice_G14\rgb_max_diff_maps\00103-00104-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.883974,0.727738,0.827248,0.066804,
rice_G14,frame_00104.png,frame_00105.png,rice_G14\rgb_max_diff_maps\00104-00105-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.581870,0.801634,0.782633,0.036783,
rice_G14,frame_00105.png,frame_00106.png,rice_G14\rgb_max_diff_maps\00105-00106-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.565300,0.800427,0.777400,0.035166,
rice_G14,frame_00106.png,frame_00107.png,rice_G14\rgb_max_diff_maps\00106-00107-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.563097,0.809505,0.779811,0.034260,
rice_G14,frame_00107.png,frame_00108.png,rice_G14\rgb_max_diff_maps\00107-00108-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.545088,0.797535,0.770578,0.035535,
rice_G14,frame_00108.png,frame_00109.png,rice_G14\rgb_max_diff_maps\00108-00109-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.859558,0.751013,0.835494,0.059776,
rice_G14,frame_00109.png,frame_00110.png,rice_G14\rgb_max_diff_maps\00109-00110-FRAME_rgbmax_scale1.00.png,median_eval_analysis_all_frames\rice_G14\00109-00110-FRAME_rgbmax_scale1.00_ok_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,median_gray_x1.0_k5_i1,,0.889779,0.725453,0.827164,0.068004,
rice_G14,frame_00110.png,frame_00111.png,rice_G14\rgb_max_diff_maps\00110-00111-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.574408,0.730332,0.753410,0.071647,
rice_G14,frame_00111.png,frame_00112.png,rice_G14\rgb_max_diff_maps\00111-00112-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.589724,0.794667,0.782425,0.041613,
rice_G14,frame_00112.png,frame_00113.png,rice_G14\rgb_max_diff_maps\00112-00113-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.542532,0.784118,0.765339,0.044968,
rice_G14,frame_00113.png,frame_00114.png,rice_G14\rgb_max_diff_maps\00113-00114-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.856319,0.752607,0.835590,0.059263,
rice_G14,frame_00114.png,frame_00115.png,rice_G14\rgb_max_diff_maps\00114-00115-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.891498,0.714801,0.820496,0.073476,
