folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
hocho_G_4,QR未検出,,accum,5,,,32,0.648751,,0.649271,frame_00105.png,frame_00109.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,18,hocho,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_G_8,QR未検出,,accum,5,,,32,0.648787,,0.649180,frame_00110.png,frame_00114.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,19,hocho,G,G,8,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_G_12,QR未検出,,accum,5,,,32,0.648852,,0.649284,frame_00000.png,frame_00004.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,20,hocho,G,G,12,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_G_4,QR未検出,,accum,5,,,32,0.649050,,0.649306,frame_00070.png,frame_00074.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,21,ex,G,G,4,,,frame_00100.png,frame_00104.png,,117,1.988157
ex_G_8,QR未検出,,accum,5,,,32,0.649058,,0.649285,frame_00050.png,frame_00054.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,22,ex,G,G,8,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_G_12,QR未検出,,accum,5,,,32,0.649029,,0.649198,frame_00045.png,frame_00049.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,23,ex,G,G,12,,,frame_00105.png,frame_00109.png,,117,1.988157
rice_B_4,QR未検出,,accum,5,,,32,0.648856,,0.649156,frame_00080.png,frame_00084.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,24,rice,B,B,4,,,frame_00105.png,frame_00109.png,,117,1.988157
rice_B_8,QR未検出,,accum,5,,,32,0.648823,,0.649110,frame_00045.png,frame_00049.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,25,rice,B,B,8,,,frame_00105.png,frame_00109.png,,117,1.988157
rice_B_12,QR未検出,,accum,5,,,32,0.649126,,0.649581,frame_00075.png,frame_00079.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,26,rice,B,B,12,,,frame_00110.png,frame_00114.png,,117,1.988157
nagaoka_fireworks_B_4,QR未検出,,accum,5,,,32,0.648373,,0.648941,frame_00110.png,frame_00114.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,27,nagaoka_fireworks,B,B,4,,,frame_00105.png,frame_00109.png,,117,1.988157
